name,website,address,Type of Church,Worship-Style,Size,Language,Auto-Assigned Type,Mismatch
Bethel Baptist Chapel Church,Unknown,Houston,Baptist,Contemporary,Mid-Sized,English,Baptist,False
Holy Rosary Church,https://www.holyrosaryparish.org/,"3617 Milam Street, Houston",Catholic,Hymnal-Based,Large,English,Needs Review,True
First United Methodist Church,http://www.fmhouston.com/,"1320 Main Street, Houston",Methodist,Hymnal-Based,Large,English,Methodist,False
Co-Cathedral of the Sacred Heart,http://www.sacredhearthouston.org/,"1111 Saint Joseph Parkway, Houston",Catholic,Hymnal-Based,Large,English,Needs Review,True
Our Lady of Guadalupe Church and Parish Office,http://www.olghouston.org/,"2405 Navigation Boulevard, Houston",Catholic,Hymnal-Based,Large,English,Needs Review,True
South Main Baptist Church,http://www.smbc.org/,"4100 Main Street, Houston",Baptist,Hymnal-Based,Large,English,Baptist,False
Holy Cross Catholic Chapel,http://www.holycrosschapel.org/,"905 Main Street, Houston",Catholic,Gregorain,Mid-Sized,English,Catholic,False
St Patrick Catholic Church,https://stpatrickhouston.com/,"4918 Cochran Street, Houston",Catholic,Hymnal-Based,Mid-Sized,English,Catholic,False
Trinity Downtown,https://www.trinitydt.org/,"800 Houston Avenue, Houston",Lutheran,Hymnal-Based,Mid-Sized ,English,Needs Review,True
Annunciation Catholic Church,http://www.annunciationcc.org/,"1618 Texas Avenue, Houston",Catholic,Hymnal-Based,Mid-Sized,English,Catholic,False
St. Mark’s United Methodist Church,https://www.smumc.org/,"600 Pecore Street, Houston",Methodist,Hymnal-Based,Mid-Sized,English,Methodist,False
Houston Vineyard,http://www.houstonvineyard.org/,"1035 East 11th Street, Houston",Non-Denominational,Contemporary,Large,Bi-lingual,Needs Review,True
Kindred,http://kindredmontrose.org/,"2515 Waugh Drive, Houston",,,,,Needs Review,True
Fifth Ward Missionary Baptist Church,http://www.fwmbc.org/,"4300 Noble Street, Houston",,,,,Baptist,True
The Salvation Army Temple Community Care Center/Boys & Girls Club,https://www.salvationarmyhouston.org/irvington-community,"4516 Irvington Boulevard, Houston",,,,,Needs Review,True
Christ Church Cathedral,http://www.christchurchcathedral.org/,"1117 Texas Avenue, Houston",,,,,Needs Review,True
"First Lutheran, Houston",https://flhouston.org/,"1311 Holman Street Unit, Houston",,,,,Lutheran,True
Mt Carmel Missionary Baptist Church Prayer Garden,Unknown,Houston,,,,,Baptist,True
Grace United Methodist Church,http://www.graceintheheights.org/,"1245 Heights Boulevard, Houston",,,,,Methodist,True
Antioch Missionary Baptist Church,https://antiochdowntown.com/,"500 Clay Street, Houston",,,,,Baptist,True
St. Joseph Catholic Church,http://www.saintjoseph.org/,"1505 Kane Street, Houston",,,,,Catholic,True
Lord of the Streets Episcopal Church,https://www.lotshouston.org/,"3401 Fannin Street, Houston",,,,,Episcopal,True
All Saints Catholic Church,http://allsaintsheights.com/,"215 East 10th Street, Houston",,,,,Catholic,True
Ecclesia Houston - Downtown Campus,http://ecclesiahouston.org/,"1100 Elder Street, Houston",,,,,Needs Review,True
Annunciation Greek Orthodox Cathedral,http://www.agoc.org/,"3511 Yoakum Boulevard, Houston",,,,,Orthodox,True
Church of The Holy Trinity,http://www.holytrinityrec.org/,"211 Byrne Street, Houston",,,,,Needs Review,True
Bering Memorial United Church of Christ,http://www.beringchurch.org/,"1440 Harold Street, Houston",,,,,Church of Christ,True
Lyons Unity Missionary Baptist Church,http://www.lyonsunitymbc.org/,"3215 Lyons Avenue, Houston",,,,,Baptist,True
Nazareth Church / Iglesia Nazareth,http://www.facebook.com/nazarethcfc,"3209 Brewster Street, Houston",,,,,Needs Review,True
Mt Vernon United Methodist Church,http://mtvernonhou.org/,"1501 Jensen Drive, Houston",,,,,Methodist,True
Brown Chapel AME Church,https://brownchapelhouston.com/,"3208 Washington Avenue, Houston",,,,,Needs Review,True
Casa De Alabanza,Unknown,"335 North Loop W, Houston",,,,,Needs Review,True
Bethany Missionary Baptist Church,Unknown,"3307 Elysian Street, Houston",,,,,Baptist,True
Kerusso Grace Church,http://kerussograce.com/,"1913 Fletcher Street B, Houston",,,,,Needs Review,True
Church of the Living God Cwff,Unknown,"1711 Shelby Street, Houston",,,,,Needs Review,True
Houston Robertson Spanish Seventh-day Adventist Church,http://www.iglesiarobertson.org/,"4318 Robertson Street, Houston",,,,,Seventh-day Adventist,True
Olivet Baptist Church,https://www.olivetmbc.org/,"3115 Lyons Avenue, Houston",,,,,Baptist,True
Restoration of Bible Fellowship Church in Houston,http://rbfchurch.net/,"2901 Fulton Street, Houston",,,,,Needs Review,True
New Macedonia Missionary Baptist Church,http://www.nmmbc-tx.org/,"2107 Gregg Street, Houston",,,,,Baptist,True
Payne Chapel AME Church,http://payneame.com/,"2701 Lee Street, Houston",,,,,Needs Review,True
Houston's Franklin Avenue Baptist,http://www.hfabc.org/,"4027 Irvington Boulevard, Houston",,,,,Baptist,True
Saints Chapel Church of God,Unknown,"4106 Elysian Street, Houston",,,,,Needs Review,True
Cathedral Centre,https://sacredhearthouston.org/,"1701 San Jacinto Street, Houston",,,,,Needs Review,True
Sojourn Montrose,http://www.sojournmontrose.org/,"1004 Taft Street, Houston",,,,,Needs Review,True
Greater Star Missionary Baptist Church,Unknown,"5510 Cruse Rd, Houston",,,,,Baptist,True
Houston's First Baptist Church - Downtown,https://houstonsfirst.org/downtown/,"1730 Jefferson Street, Houston",,,,,Baptist,True
Latter Day Deliverance Revival,http://www.lddrc.org/,"4036 Lyons Avenue, Houston",,,,,Needs Review,True
Dominican Fathers,Unknown,"3600 Travis Street, Houston",,,,,Needs Review,True
St Nicholas Church,https://stnicholashouston.org/,"2508 Clay Street, Houston",,,,,Needs Review,True
Mt Sinai Baptist Church,https://www.msbchouston.org/,"902 West 8th Street, Houston",,,,,Baptist,True
First Shiloh Baptist Church,Unknown,"4420 Lyons Avenue, Houston",,,,,Baptist,True
Holy Family HTX Episcopal Church,http://www.holyfamilyhtx.org/,"3719 Navigation Boulevard, Houston",,,,,Episcopal,True
Oliver Chapel Baptist Church,Unknown,"2307 Bastrop Street, Houston",,,,,Baptist,True
St Andrew's Episcopal School,https://www.saesheights.org/,"1819 Heights Boulevard, Houston",,,,,Episcopal,True
True Love MBC of Houston,Unknown,"4029 Falls Street, Houston",,,,,Needs Review,True
Saint Stephen Baptist Church,Unknown,Houston,,,,,Baptist,True
"Dr. S.J. Gilbert, Sr. Family Life Center",Unknown,"747 Herkimer Street, Houston",,,,,Needs Review,True
Third Ward Church of Christ,https://thirdwardcoc.org/,"2721 McIlhenny Street, Houston",,,,,Church of Christ,True
Fourth Missionary Baptist Church,http://www.fourthmbc.org/,"2710 Webster Street, Houston",,,,,Baptist,True
Houston Brethren Church,Unknown,"6207 North Main Street, Houston",,,,,Needs Review,True
Church of Christ Saint John,Unknown,"7202 Bethune Avenue, Austin",,,,,Church of Christ,True
UT University Catholic Center,http://www.utcatholic.org/,"2010 University Avenue, Austin",,,,,Catholic,True
Saint Louis King of France Catholic Church,http://www.st-louis.org/,"7601 Burnet Road, Austin",,,,,Catholic,True
St. Martin's EV. Lutheran Church & Preschool,http://www.saintmartins.org/,"606 West 15th Street, Austin",,,,,Lutheran,True
St Austin Catholic Church,https://staustin.org/,"2026 Guadalupe Street, Austin",,,,,Catholic,True
Diocese of Austin,http://www.austindiocese.org/,"SVRD EB, 6225 East Highway 290, Austin",,,,,Needs Review,True
St. George's Episcopal Church,http://www.sgchurch.org/,"4301 North Interstate Highway 35, Austin",,,,,Episcopal,True
Redeemer Lutheran School,http://www.redeemerschool.net/,"1500 West Anderson Lane, Austin",,,,,Lutheran,True
Genesis Presbyterian Church,http://www.genesis-austin.org/,"1507 Wilshire Boulevard, Austin",,,,,Presbyterian,True
St John's United Methodist,https://www.stjohnsaustin.org/,"2140 Allandale Road, Austin",,,,,Methodist,True
Episcopal Student Center,http://www.utepiscopal.org/,"209 West 27th Street, Austin",,,,,Episcopal,True
Hope Chapel,http://www.hope.org/,"6701 Arroyo Seco, Austin",,,,,Needs Review,True
Morning Star Christian Church,Unknown,"2700 West Anderson Lane, Austin",,,,,Needs Review,True
First United Methodist Church of Austin,https://fumcaustin.org/,"1201 Lavaca Street, Austin",,,,,Methodist,True
San Gabriel Ltd,Unknown,"2905 San Gabriel Street, Austin",,,,,Needs Review,True
Hyde Park Presbyterian Church,http://hydeparkaustin.org/,"3913 Avenue B, Austin",,,,,Presbyterian,True
University Baptist Church,http://www.ubcaustin.org/,"2130 Guadalupe Street, Austin",,,,,Baptist,True
All Saints' Episcopal Church,http://www.allsaints-austin.org/,"209 West 27th Street, Austin",,,,,Episcopal,True
Central Christian Church,https://cccaustin.org/,"1110 Guadalupe Street, Austin",,,,,Needs Review,True
Hyde Park Baptist Church,http://hpbc.org/,"3901 Speedway, Austin",,,,,Baptist,True
North Village Church,https://northvillagechurch.com/,"2203 West Anderson Lane, Austin",,,,,Needs Review,True
Northwest Hills United Methodist Church,http://www.nwhillsumc.org/,"7050 Village Center Drive, Austin",,,,,Methodist,True
Promiseland Church,http://www.promiselandchurch.net/,"1504 East 51st Street #200, Austin",,,,,Needs Review,True
Anderson Square,Unknown,Austin,,,,,Needs Review,True
The Episcopal Church of the Good Shepherd,http://www.gsaustin.org/,"3201 Windsor Road, Austin",,,,,Episcopal,True
First English Lutheran Church,http://www.felcaustin.org/,"3001 Whitis Avenue, Austin",,,,,Lutheran,True
Covenant Presbyterian Church,http://www.covenant.org/,"3003 Northland Drive, Austin",,,,,Presbyterian,True
Gathering Place Worship Center,Unknown,"8000 Anderson Square #102, Austin",,,,,Needs Review,True
University United Methodist Church,http://www.uumc.org/,"2409 Guadalupe Street, Austin",,,,,Methodist,True
Texas Impact,https://texasimpact.org/,"200 East 30th Street, Austin",,,,,Needs Review,True
Redeemer Presbyterian Church,http://www.redeemerpres.org/,"2111 Alexander Avenue, Austin",,,,,Presbyterian,True
Almond Tree Christian Fellowship,Unknown,"4115 Avenue D, Austin",,,,,Needs Review,True
Street Youth Ministry of Austin,http://www.symin.org/,"2008 Justin Lane Building A, Austin",,,,,Needs Review,True
Evergreen Church of Austin,http://evergreen.church/,"5002 Caswell Avenue, Austin",,,,,Needs Review,True
Tarrytown United Methodist Church,http://www.tumcaustin.church/,"2601 Exposition Boulevard, Austin",,,,,Methodist,True
Austin Gatherings Church,http://www.austingatherings.org/,"2222 Rio Grande Street #130, Austin",,,,,Needs Review,True
St. Paul Lutheran Church,http://www.stpaulaustin.org/,"3501 Red River Street, Austin",,,,,Lutheran,True
Joshua Church,http://www.joshua-church.com/,"2000 Justin Lane, Austin",,,,,Needs Review,True
University Ave Church of Christ,http://uachurch.org/,"1903 University Avenue, Austin",,,,,Church of Christ,True
University Presbyterian Church Austin,https://upcaustin.org/,"2203 San Antonio Street, Austin",,,,,Presbyterian,True
LuMin-Austin,http://luminaustin.org/,"2100 San Antonio Street, Austin",,,,,Needs Review,True
Centro de Alabanza El Camino Cristiano,Unknown,"13900 South Interstate 35 Frontage Road Ste D-1, Austin",,,,,Needs Review,True
Longhorns For Christ Campus Center,http://www.longhornsforchrist.org/,"1909 University Avenue, Austin",,,,,Needs Review,True
Providence Church,http://providenceaustin.com/,"1903 University Avenue, Austin",,,,,Needs Review,True
Faith Lutheran Church (ELCA),http://www.faithlutheranaustin.org/,"6600 Woodrow Avenue, Austin",,,,,Lutheran,True
Lutheran Campus Ministry,http://lcmaustin.org,"606 West 15th Street, Austin",,,,,Lutheran,True
St. Theresa of Lisieux Catholic Church,http://www.sttaustin.org/,"4311 Small Drive, Austin",,,,,Catholic,True
St Paul Baptist Church,Unknown,"501 Blackson Avenue, Austin",,,,,Baptist,True
Church of Christ In Hyde Park,http://www.hydeparkcoc.org/,"310 West 43rd Street, Austin",,,,,Church of Christ,True
Deeper Life Bible Church Austin Texas,http://www.deeperlifeaustintx.org/,"7701 North Lamar Boulevard #204, Austin",,,,,Needs Review,True
Mims Chapel Church of God in Christ,http://www.mimschapelcogic.com/,"1801 East 38th 1/2 Street, Austin",,,,,Needs Review,True
The House of Intercession - THOI,http://www.thoiatx.com/,"406 Delmar Avenue, Austin",,,,,Needs Review,True
Life Changing Ministries,Unknown,Austin,,,,,Needs Review,True
Summit Lighthouse of Austin,Unknown,"1714 West Anderson Lane, Austin",,,,,Needs Review,True
Abundant Life Fellowship Texas,http://www.abundantlifetx.com/,"7801 North Lamar Boulevard ste e 200, Austin",,,,,Needs Review,True
High Calling Assembly of God Church,http://highcallingag.org/,"7801 North Lamar Boulevard, Austin",,,,,Needs Review,True
Hyde Park Christian Church,http://hydeparkcc.org/,"610 East 45th Street, Austin",,,,,Needs Review,True
Tabernacle Financial Group,http://www.tabernaclemortgage.com/AboutUs/,"State Finance Commission Building, 2601 North Lamar Boulevard, Austin",,,,,Needs Review,True
University Christian Church,http://www.ucc-austin.org/,"2007 University Avenue, Austin",,,,,Needs Review,True
Glad Tidings Church - Central Austin,https://gladtidings.org/central,"2700 Northland Drive, Austin",,,,,Needs Review,True
Our Lady of Mount Carmel and Saint Therese Church,Unknown,San Antonio,,,,,Needs Review,True
First Presbyterian Church,http://www.fpcsanantonio.org/,"404 North Alamo Street, San Antonio",,,,,Presbyterian,True
"Dr. Robin Church-Hajduk, MD",Unknown,"1310 McCullough Avenue, San Antonio",,,,,Needs Review,True
Mission Concepción,https://www.nps.gov/saan/planyourvisit/concepcion.htm,"807 Mission Road, San Antonio",,,,,Needs Review,True
First Baptist Church of San Antonio,http://www.fbcsa.org/?utm_source=google&utm_medium=seacr&utm_campaign=local,"515 McCullough Avenue, San Antonio",,,,,Baptist,True
"Dr. Robin Church-Hajduk, MD",Unknown,"111 Dallas Street, San Antonio",,,,,Needs Review,True
Trinity Baptist Church,https://www.trinitybaptist.org/,"319 East Mulberry Avenue, San Antonio",,,,,Baptist,True
Basilica of the National Shrine of the Little Flower,https://littleflowerbasilica.org/,"1715 North Zarzamora Street, San Antonio",,,,,Needs Review,True
Little Church of La Villita,https://www.lavillitasanantonio.com/venues,"508 Villita Street, San Antonio",,,,,Needs Review,True
Immaculate Heart of Mary Catholic Church,http://www.ihmsatx.org/,"617 South Santa Rosa Avenue, San Antonio",,,,,Catholic,True
TriPoint - A Center for Life,https://tripointsa.org/,"3233 North Saint Mary's Street #102, San Antonio",,,,,Needs Review,True
Our Lady of Grace Church,http://www.olgsa.org/,"223 East Summit Avenue, San Antonio",,,,,Needs Review,True
Religious of Mary Immaculate,Unknown,"719 Augusta Street, San Antonio",,,,,Needs Review,True
Communities Under the Bridge with Church Under the Bridge,https://www.cub-sa.org/,"724 Chestnut Street, San Antonio",,,,,Needs Review,True
Our Lady of Guadalupe Shrine,http://olgsanantonio.org/,"1321 El Paso Street, San Antonio",,,,,Needs Review,True
St. Henry Catholic Church,https://sthenrysatx.org/,"1619 South Flores Street, San Antonio",,,,,Catholic,True
El Buen Samaritano United Methodist Church,Unknown,"300 Odis, San Antonio",,,,,Methodist,True
St. Mark's Episcopal Church,https://www.stmarks-sa.org/,"315 East Pecan Street, San Antonio",,,,,Episcopal,True
Saint Paul's Episcopal Church,http://www.stpaulssanantonio.org/,"1018 East Grayson Street, San Antonio",,,,,Episcopal,True
Travis Park United Methodist Church,https://www.travispark.org/,"230 East Travis Street, San Antonio",,,,,Methodist,True
Local Spiritual Assembly,Unknown,"735 West Magnolia Avenue, San Antonio",,,,,Needs Review,True
Saint Philip of Jesus Catholic Church,https://www.saintphilipofjesus.org/,"142 East Lambert Street, San Antonio",,,,,Catholic,True
Redeemer Presbyterian Church,https://www.redeemersa.org/,"903 North Saint Mary's Street, San Antonio",,,,,Presbyterian,True
Antioch Baptist Church,Unknown,"204 South Hackberry Street, San Antonio",,,,,Baptist,True
St Luke Baptist Church,http://www.stlcitylights.com/,"1903 West Poplar Street, San Antonio",,,,,Baptist,True
Living Water Faith Church,Unknown,"524 Ruiz Street, San Antonio",,,,,Needs Review,True
Word Christian Ministry Comm,Unknown,"1128 East Grayson Street, San Antonio",,,,,Needs Review,True
Jacobs House-Blessings Church,http://www.denverheights.org,"512 Dreiss Street, San Antonio",,,,,Needs Review,True
Lively Stone International Christian,http://www.livelystoneministries.com/,"937 West Magnolia Avenue, San Antonio",,,,,Needs Review,True
Immaculate Conception,https://archsa.org/parishes/immaculate-conception,"314 Merida Street, San Antonio",,,,,Needs Review,True
Iglesia La Luz del Mundo,Unknown,"714 Delgado Street, San Antonio",,,,,Needs Review,True
Grace Cathedral Christian,Unknown,"1001 West Huisache Avenue, San Antonio",,,,,Needs Review,True
MSC,Unknown,"123 West Laurel Street, San Antonio",,,,,Needs Review,True
New Testament Missionary Baptist Church,http://www.san-antonio-churches.com/newtestament/newtestament.htm,"1239 East Crockett Street, San Antonio",,,,,Baptist,True
San Fernando Cathedral,http://www.sfcathedral.org/,"115 Main Plaza, San Antonio",,,,,Needs Review,True
St. Joseph Catholic Church,http://stjsa.org/,"623 East Commerce Street, San Antonio",,,,,Catholic,True
Pearl Street Church,https://www.pearlstreet.church/,"1102 North Cherry Street, San Antonio",,,,,Needs Review,True
Life Restored Church,http://www.liferestoredchurch.com/,"400 Arbor Place, San Antonio",,,,,Needs Review,True
Right Way Baptist Church,http://rwbconline-sa.com/,"807 Dakota Street, San Antonio",,,,,Baptist,True
Iglesia Bautista Buena Voluntad,Unknown,"1602 West Martin Street, San Antonio",,,,,Needs Review,True
Moment of Truth Ministries,http://www.momentoftruthministries.org/,"1730 East Commerce Street, San Antonio",,,,,Needs Review,True
St Patrick's Catholic Church,https://www.saintpatricks.net/,"1114 Willow Street, San Antonio",,,,,Catholic,True
St. Agnes Catholic Church,http://stagneschurchsa.org/home.html,"804 Ruiz Street, San Antonio",,,,,Catholic,True
The New Beacon Hill,Unknown,"612 Fredericksburg Road, San Antonio",,,,,Needs Review,True
St. Ann's Parish Center,Unknown,"714 Fredericksburg Road, San Antonio",,,,,Needs Review,True
Sanford Chapel United Methodist,https://sanfordchapelumc.org/,"900 Lombrano Street, San Antonio",,,,,Methodist,True
Saint Apophenia,Unknown,"803 South Pine Street, San Antonio",,,,,Needs Review,True
Victory Temple Church,Unknown,"2101 Buena Vista Street, San Antonio",,,,,Needs Review,True
Bluebonnet Area,Unknown,"1214 Colima Street, San Antonio",,,,,Needs Review,True
AGORA Ministries,https://agoraministries.com/,"1807 San Fernando Street, San Antonio",,,,,Needs Review,True
Abounding Hope Church,Unknown,"1250 South Trinity Street, San Antonio",,,,,Needs Review,True
Carmelite Fathers,Unknown,"906 Kentucky Avenue, San Antonio",,,,,Needs Review,True
Greater New Birth,Unknown,"1719 Burleson Street, San Antonio",,,,,Needs Review,True
Little Flower Administration Office,https://littleflowerbasilica.org/contact,"824 Kentucky Avenue, San Antonio",,,,,Needs Review,True
San Antonio Spanish Durango SDA Church,Unknown,"2321 West César E Chávez Boulevard, San Antonio",,,,,Needs Review,True
Iglesla Odres Nuevos,Unknown,"1921 El Paso Street, San Antonio",,,,,Needs Review,True
Annunciation-Blessed Virgin,Unknown,"1501 Tampico Street, San Antonio",,,,,Needs Review,True
San Antonio Meditation Group of Self-Realization Fellowship,http://www.srfsanantonio.org/,"202 Holland Avenue, San Antonio",,,,,Needs Review,True
Grace Community Church,https://gccsatx.com/,"311 Hedges Street, San Antonio",,,,,Needs Review,True
Mt Ararat Baptist Church,Unknown,"1021 North Hamilton Avenue, San Antonio",,,,,Baptist,True
National Shrine Cathedral of Our Lady of Guadalupe,https://www.cathedralguadalupe.org/,"2215 Ross Avenue, Dallas",,,,,Needs Review,True
First Baptist Dallas,http://www.firstdallas.org/,"1707 San Jacinto Street, Dallas",,,,,Baptist,True
First United Methodist Church,https://www.firstchurchdallas.org/,"1928 Ross Avenue, Dallas",,,,,Methodist,True
Thanks-Giving Square,http://www.thanksgiving.org/,"1627 Pacific Avenue, Dallas",,,,,Needs Review,True
Fellowship Church,https://www.fellowshipchurch.com/locations/dallas,"2809 Ross Avenue, Dallas",,,,,Needs Review,True
St. Jude Chapel,https://stjudechapel.org/,"1521 Main Street, Dallas",,,,,Needs Review,True
All Saints Dallas,https://asd.church/,"901 South Ervay Street, Dallas",,,,,Needs Review,True
East Dallas Christian Church,http://www.edcc.org/,"629 North Peak Street, Dallas",,,,,Needs Review,True
Church of the Incarnation,Unknown,"3966 McKinney Avenue, Dallas",,,,,Needs Review,True
City Church International,http://cci.church/,"1530 North Carroll Avenue, Dallas",,,,,Needs Review,True
Cliff Temple Baptist Church,http://www.clifftemple.org/,"134 West 10th Street, Dallas",,,,,Baptist,True
Warren Avenue Christian Church,http://www.wacc-doc.org/,"2431 Warren Avenue, Dallas",,,,,Needs Review,True
Iglesia De Dios Eben Ezer Church,Unknown,Dallas,,,,,Needs Review,True
The Winners Assembly,http://twaccg.org/,"1709 Martin Luther King Junior Boulevard, Dallas",,,,,Needs Review,True
St Mary of Carmel Church,https://smcparishdallas.org/,"2900 Vilbig Road, Dallas",,,,,Needs Review,True
Grace United Methodist Church,https://www.graceumcdallas.org/,"4105 Junius Street, Dallas",,,,,Methodist,True
Forthworth CME District,Unknown,"1825 Market Center Boulevard # 600, Dallas",,,,,Needs Review,True
Tyler Street Church,http://www.tylerstreet.church/,"927 West 10th Street, Dallas",,,,,Needs Review,True
First Presbyterian Church of Dallas,http://fpcdallas.org/,"1835 Young Street, Dallas",,,,,Presbyterian,True
Kessler Park United Methodist,http://www.kpumc.org/,"1215 Turner Avenue, Dallas",,,,,Methodist,True
Oak Lawn United Methodist Church,http://www.olumc.org/,"3014 Oak Lawn Avenue, Dallas",,,,,Methodist,True
Saint Cecilia Catholic Church,https://stceciliadallas.org/,"1809 West Davis Street, Dallas",,,,,Catholic,True
Forest Avenue Baptist Church,http://www.fambcdallas.org/,"2502 Martin Luther King Junior Boulevard, Dallas",,,,,Baptist,True
St. Peter's Catholic Church,https://stpeterdal.com/,"2907 Woodall Rodgers Freeway, Dallas",,,,,Catholic,True
Antioch Church,http://www.teamantioch.com/,"805 Elm Street, Dallas",,,,,Needs Review,True
Greater El Bethel Baptist Church,Unknown,"1130 East 9th Street, Dallas",,,,,Baptist,True
Way of the Cross Bible Church,http://wotcbcdallas.wixsite.com/wotcbc-bible-church,"814 East 10th Street, Dallas",,,,,Needs Review,True
St. Edward Catholic Church,http://www.stedwardparish.org/,"4014 Simpson Street, Dallas",,,,,Catholic,True
Faith Cumberland Presbyterian,http://faithcpca.org/,"2903 Al Lipscomb Way, Dallas",,,,,Presbyterian,True
Upper Room Dallas,https://upperroom.co/,"1911 Wall Street, Dallas",,,,,Needs Review,True
Trueway House of God,Unknown,"421 Cleaves Street, Dallas",,,,,Needs Review,True
Blessed Sacrament Catholic Church,http://www.bsdallas.org/,"231 North Marsalis Avenue, Dallas",,,,,Catholic,True
SoupMobile Church,http://www.soupmobile.org/,"2423 South Good Latimer Expressway, Dallas",,,,,Needs Review,True
Warren UMC,Unknown,"3028 South Malcolm X Boulevard, Dallas",,,,,Needs Review,True
Church of the Lord Jesus,Unknown,"3015 South Malcolm X Boulevard, Dallas",,,,,Needs Review,True
Oasis Baptist Church,http://www.oasisdallas.com/,"2714 Al Lipscomb Way, Dallas",,,,,Baptist,True
Romine Avenue Christian Church,Unknown,"2302 Romine Avenue, Dallas",,,,,Needs Review,True
Iglesia De Cristo en Western Heights,http://www.western-heights.org/,"1912 North Winnetka Avenue, Dallas",,,,,Needs Review,True
Divine Church of Grace,Unknown,"2210 Cooper Street, Dallas",,,,,Needs Review,True
Victory Baptist Church of Dallas,http://victorydallas.org/,"2818 Martin Luther King Junior Boulevard, Dallas",,,,,Baptist,True
Greater Deliverance Apostolic,Unknown,"1402 East Waco Avenue, Dallas",,,,,Needs Review,True
Trinity Church Oak Cliff,https://trinitychurchoakcliff.org/,"1139 Turner Avenue, Dallas",,,,,Needs Review,True
Victory Outreach Church Of Dallas,Unknown,"231 Jefferson Boulevard, Dallas",,,,,Needs Review,True
Centro De Adoracion,Unknown,"322 Jefferson Boulevard, Dallas",,,,,Needs Review,True
Upendo Baptist Church,Unknown,Dallas,,,,,Baptist,True
Crossroads Community Church,http://www.crossroadscommunitychurch.us/,"Meeting in Theatre Three, 2688 Laclede Street, Dallas",,,,,Needs Review,True
Soul Church,http://soulchurch.org/,"828 4th Avenue, Dallas",,,,,Needs Review,True
Egypt Chapel Baptist Church,http://www.egyptchapel.org/,"1122 Hutchins Road, Dallas",,,,,Baptist,True
Iglesia Christian Fellowship,https://www.facebook.com/icf.dallas/,"1327 Walmsley Avenue, Dallas",,,,,Needs Review,True
AP Church / Iglesia AP,http://apdallas.org/,"3115 Borger Street, Dallas",,,,,Needs Review,True
Antioch Missionary Baptist Church,Unknown,Dallas,,,,,Baptist,True
New Found Life Bible Church,Unknown,"2939 Lenway Street, Dallas",,,,,Needs Review,True
Midway Baptist Church,Unknown,Dallas,,,,,Baptist,True
Greater New Vision Christian,Unknown,"1302 Renner Drive, Dallas",,,,,Needs Review,True
Greater Calvary Baptist Church,Unknown,"3733 Myrtle Street, Dallas",,,,,Baptist,True
Peak and East Side Church of Christ,https://www.mainstreet-churchofchrist.com/,"S Peak St & Eastside Ave, Dallas",,,,,Church of Christ,True
Ewing Avenue Baptist Church,https://ewingabc.org/,"1323 South Ewing Avenue, Dallas",,,,,Baptist,True
Greater New Zion Baptist,https://greaternewzionbc.org/Contact-Us,"2210 Pine Street, Dallas",,,,,Baptist,True
Maranatha Church,http://yourmaranatha.com/,"805 South Peak Street, Dallas",,,,,Needs Review,True
Calvary Church Dallas,http://calvarychurch.cc/,"215 South Tyler Street #4934, Dallas",,,,,Needs Review,True
