name,website,address,Type of Church,Worship-Style,Size,Language
Bethel Baptist Chapel Church,Unknown,Houston,Baptist,Contmeporary,Mid-Sized,English
Holy Rosary Church,https://www.holyrosaryparish.org/,"3617 Milam Street, Houston",Catholic,Hymnal-Based,Large,English
First United Methodist Church,http://www.fmhouston.com/,"1320 Main Street, Houston",Methodist,Hymnal-Based,Large,English
Co-Cathedral of the Sacred Heart,http://www.sacredhearthouston.org/,"1111 Saint Joseph Parkway, Houston",Catholic,Gregorian,Large,English
Our Lady of Guadalupe Church and Parish Office,http://www.olghouston.org/,"2405 Navigation Boulevard, Houston",Catholic,Gregorian,Large,English
South Main Baptist Church,http://www.smbc.org/,"4100 Main Street, Houston",Baptist,Hymnal-Based,Large,English
Holy Cross Catholic Chapel,http://www.holycrosschapel.org/,"905 Main Street, Houston",Catholic,Gregorain,Mid-Sized,English
St Patrick Catholic Church,https://stpatrickhouston.com/,"4918 Cochran Street, Houston",Catholic,Gregorian,Mid-Sized,English
Trinity Downtown,https://www.trinitydt.org/,"800 Houston Avenue, Houston",Lutheran,Hymnal-Based,Mid-Sized ,English
Annunciation Catholic Church,http://www.annunciationcc.org/,"1618 Texas Avenue, Houston",Catholic,Gregorian,Mid-Sized,English
St. Mark’s United Methodist Church,https://www.smumc.org/,"600 Pecore Street, Houston",Methodist,Hymnal-Based,Mid-Sized,English
Houston Vineyard,http://www.houstonvineyard.org/,"1035 East 11th Street, Houston",Non-Denominational,Contemporary,Large,Bi-lingual
Kindred,http://kindredmontrose.org/,"2515 Waugh Drive, Houston",,,,
Fifth Ward Missionary Baptist Church,http://www.fwmbc.org/,"4300 Noble Street, Houston",,,,
The Salvation Army Temple Community Care Center/Boys & Girls Club,https://www.salvationarmyhouston.org/irvington-community,"4516 Irvington Boulevard, Houston",,,,
Christ Church Cathedral,http://www.christchurchcathedral.org/,"1117 Texas Avenue, Houston",,,,
"First Lutheran, Houston",https://flhouston.org/,"1311 Holman Street Unit, Houston",,,,
Mt Carmel Missionary Baptist Church Prayer Garden,Unknown,Houston,,,,
Grace United Methodist Church,http://www.graceintheheights.org/,"1245 Heights Boulevard, Houston",,,,
Antioch Missionary Baptist Church,https://antiochdowntown.com/,"500 Clay Street, Houston",,,,
St. Joseph Catholic Church,http://www.saintjoseph.org/,"1505 Kane Street, Houston",,,,
Lord of the Streets Episcopal Church,https://www.lotshouston.org/,"3401 Fannin Street, Houston",,,,
All Saints Catholic Church,http://allsaintsheights.com/,"215 East 10th Street, Houston",,,,
Ecclesia Houston - Downtown Campus,http://ecclesiahouston.org/,"1100 Elder Street, Houston",,,,
Annunciation Greek Orthodox Cathedral,http://www.agoc.org/,"3511 Yoakum Boulevard, Houston",,,,
Church of The Holy Trinity,http://www.holytrinityrec.org/,"211 Byrne Street, Houston",,,,
Bering Memorial United Church of Christ,http://www.beringchurch.org/,"1440 Harold Street, Houston",,,,
Lyons Unity Missionary Baptist Church,http://www.lyonsunitymbc.org/,"3215 Lyons Avenue, Houston",,,,
Nazareth Church / Iglesia Nazareth,http://www.facebook.com/nazarethcfc,"3209 Brewster Street, Houston",,,,
Mt Vernon United Methodist Church,http://mtvernonhou.org/,"1501 Jensen Drive, Houston",,,,
Brown Chapel AME Church,https://brownchapelhouston.com/,"3208 Washington Avenue, Houston",,,,
Casa De Alabanza,Unknown,"335 North Loop W, Houston",,,,
Bethany Missionary Baptist Church,Unknown,"3307 Elysian Street, Houston",,,,
Kerusso Grace Church,http://kerussograce.com/,"1913 Fletcher Street B, Houston",,,,
Church of the Living God Cwff,Unknown,"1711 Shelby Street, Houston",,,,
Houston Robertson Spanish Seventh-day Adventist Church,http://www.iglesiarobertson.org/,"4318 Robertson Street, Houston",,,,
Olivet Baptist Church,https://www.olivetmbc.org/,"3115 Lyons Avenue, Houston",,,,
Restoration of Bible Fellowship Church in Houston,http://rbfchurch.net/,"2901 Fulton Street, Houston",,,,
New Macedonia Missionary Baptist Church,http://www.nmmbc-tx.org/,"2107 Gregg Street, Houston",,,,
Payne Chapel AME Church,http://payneame.com/,"2701 Lee Street, Houston",,,,
Houston's Franklin Avenue Baptist,http://www.hfabc.org/,"4027 Irvington Boulevard, Houston",,,,
Saints Chapel Church of God,Unknown,"4106 Elysian Street, Houston",,,,
Cathedral Centre,https://sacredhearthouston.org/,"1701 San Jacinto Street, Houston",,,,
Sojourn Montrose,http://www.sojournmontrose.org/,"1004 Taft Street, Houston",,,,
Greater Star Missionary Baptist Church,Unknown,"5510 Cruse Rd, Houston",,,,
Houston's First Baptist Church - Downtown,https://houstonsfirst.org/downtown/,"1730 Jefferson Street, Houston",,,,
Latter Day Deliverance Revival,http://www.lddrc.org/,"4036 Lyons Avenue, Houston",,,,
Dominican Fathers,Unknown,"3600 Travis Street, Houston",,,,
St Nicholas Church,https://stnicholashouston.org/,"2508 Clay Street, Houston",,,,
Mt Sinai Baptist Church,https://www.msbchouston.org/,"902 West 8th Street, Houston",,,,
First Shiloh Baptist Church,Unknown,"4420 Lyons Avenue, Houston",,,,
Holy Family HTX Episcopal Church,http://www.holyfamilyhtx.org/,"3719 Navigation Boulevard, Houston",,,,
Oliver Chapel Baptist Church,Unknown,"2307 Bastrop Street, Houston",,,,
St Andrew's Episcopal School,https://www.saesheights.org/,"1819 Heights Boulevard, Houston",,,,
True Love MBC of Houston,Unknown,"4029 Falls Street, Houston",,,,
Saint Stephen Baptist Church,Unknown,Houston,,,,
"Dr. S.J. Gilbert, Sr. Family Life Center",Unknown,"747 Herkimer Street, Houston",,,,
Third Ward Church of Christ,https://thirdwardcoc.org/,"2721 McIlhenny Street, Houston",,,,
Fourth Missionary Baptist Church,http://www.fourthmbc.org/,"2710 Webster Street, Houston",,,,
Houston Brethren Church,Unknown,"6207 North Main Street, Houston",,,,
Church of Christ Saint John,Unknown,"7202 Bethune Avenue, Austin",,,,
UT University Catholic Center,http://www.utcatholic.org/,"2010 University Avenue, Austin",,,,
Saint Louis King of France Catholic Church,http://www.st-louis.org/,"7601 Burnet Road, Austin",,,,
St. Martin's EV. Lutheran Church & Preschool,http://www.saintmartins.org/,"606 West 15th Street, Austin",,,,
St Austin Catholic Church,https://staustin.org/,"2026 Guadalupe Street, Austin",,,,
Diocese of Austin,http://www.austindiocese.org/,"SVRD EB, 6225 East Highway 290, Austin",,,,
St. George's Episcopal Church,http://www.sgchurch.org/,"4301 North Interstate Highway 35, Austin",,,,
Redeemer Lutheran School,http://www.redeemerschool.net/,"1500 West Anderson Lane, Austin",,,,
Genesis Presbyterian Church,http://www.genesis-austin.org/,"1507 Wilshire Boulevard, Austin",,,,
St John's United Methodist,https://www.stjohnsaustin.org/,"2140 Allandale Road, Austin",,,,
Episcopal Student Center,http://www.utepiscopal.org/,"209 West 27th Street, Austin",,,,
Hope Chapel,http://www.hope.org/,"6701 Arroyo Seco, Austin",,,,
Morning Star Christian Church,Unknown,"2700 West Anderson Lane, Austin",,,,
First United Methodist Church of Austin,https://fumcaustin.org/,"1201 Lavaca Street, Austin",,,,
San Gabriel Ltd,Unknown,"2905 San Gabriel Street, Austin",,,,
Hyde Park Presbyterian Church,http://hydeparkaustin.org/,"3913 Avenue B, Austin",,,,
University Baptist Church,http://www.ubcaustin.org/,"2130 Guadalupe Street, Austin",,,,
All Saints' Episcopal Church,http://www.allsaints-austin.org/,"209 West 27th Street, Austin",,,,
Central Christian Church,https://cccaustin.org/,"1110 Guadalupe Street, Austin",,,,
Hyde Park Baptist Church,http://hpbc.org/,"3901 Speedway, Austin",,,,
North Village Church,https://northvillagechurch.com/,"2203 West Anderson Lane, Austin",,,,
Northwest Hills United Methodist Church,http://www.nwhillsumc.org/,"7050 Village Center Drive, Austin",,,,
Promiseland Church,http://www.promiselandchurch.net/,"1504 East 51st Street #200, Austin",,,,
Anderson Square,Unknown,Austin,,,,
The Episcopal Church of the Good Shepherd,http://www.gsaustin.org/,"3201 Windsor Road, Austin",,,,
First English Lutheran Church,http://www.felcaustin.org/,"3001 Whitis Avenue, Austin",,,,
Covenant Presbyterian Church,http://www.covenant.org/,"3003 Northland Drive, Austin",,,,
Gathering Place Worship Center,Unknown,"8000 Anderson Square #102, Austin",,,,
University United Methodist Church,http://www.uumc.org/,"2409 Guadalupe Street, Austin",,,,
Texas Impact,https://texasimpact.org/,"200 East 30th Street, Austin",,,,
Redeemer Presbyterian Church,http://www.redeemerpres.org/,"2111 Alexander Avenue, Austin",,,,
Almond Tree Christian Fellowship,Unknown,"4115 Avenue D, Austin",,,,
Street Youth Ministry of Austin,http://www.symin.org/,"2008 Justin Lane Building A, Austin",,,,
Evergreen Church of Austin,http://evergreen.church/,"5002 Caswell Avenue, Austin",,,,
Tarrytown United Methodist Church,http://www.tumcaustin.church/,"2601 Exposition Boulevard, Austin",,,,
Austin Gatherings Church,http://www.austingatherings.org/,"2222 Rio Grande Street #130, Austin",,,,
St. Paul Lutheran Church,http://www.stpaulaustin.org/,"3501 Red River Street, Austin",,,,
Joshua Church,http://www.joshua-church.com/,"2000 Justin Lane, Austin",,,,
University Ave Church of Christ,http://uachurch.org/,"1903 University Avenue, Austin",,,,
University Presbyterian Church Austin,https://upcaustin.org/,"2203 San Antonio Street, Austin",,,,
LuMin-Austin,http://luminaustin.org/,"2100 San Antonio Street, Austin",,,,
Centro de Alabanza El Camino Cristiano,Unknown,"13900 South Interstate 35 Frontage Road Ste D-1, Austin",,,,
Longhorns For Christ Campus Center,http://www.longhornsforchrist.org/,"1909 University Avenue, Austin",,,,
Providence Church,http://providenceaustin.com/,"1903 University Avenue, Austin",,,,
Faith Lutheran Church (ELCA),http://www.faithlutheranaustin.org/,"6600 Woodrow Avenue, Austin",,,,
Lutheran Campus Ministry,http://lcmaustin.org,"606 West 15th Street, Austin",,,,
St. Theresa of Lisieux Catholic Church,http://www.sttaustin.org/,"4311 Small Drive, Austin",,,,
St Paul Baptist Church,Unknown,"501 Blackson Avenue, Austin",,,,
Church of Christ In Hyde Park,http://www.hydeparkcoc.org/,"310 West 43rd Street, Austin",,,,
Deeper Life Bible Church Austin Texas,http://www.deeperlifeaustintx.org/,"7701 North Lamar Boulevard #204, Austin",,,,
Mims Chapel Church of God in Christ,http://www.mimschapelcogic.com/,"1801 East 38th 1/2 Street, Austin",,,,
The House of Intercession - THOI,http://www.thoiatx.com/,"406 Delmar Avenue, Austin",,,,
Life Changing Ministries,Unknown,Austin,,,,
Summit Lighthouse of Austin,Unknown,"1714 West Anderson Lane, Austin",,,,
Abundant Life Fellowship Texas,http://www.abundantlifetx.com/,"7801 North Lamar Boulevard ste e 200, Austin",,,,
High Calling Assembly of God Church,http://highcallingag.org/,"7801 North Lamar Boulevard, Austin",,,,
Hyde Park Christian Church,http://hydeparkcc.org/,"610 East 45th Street, Austin",,,,
Tabernacle Financial Group,http://www.tabernaclemortgage.com/AboutUs/,"State Finance Commission Building, 2601 North Lamar Boulevard, Austin",,,,
University Christian Church,http://www.ucc-austin.org/,"2007 University Avenue, Austin",,,,
Glad Tidings Church - Central Austin,https://gladtidings.org/central,"2700 Northland Drive, Austin",,,,
Our Lady of Mount Carmel and Saint Therese Church,Unknown,San Antonio,,,,
First Presbyterian Church,http://www.fpcsanantonio.org/,"404 North Alamo Street, San Antonio",,,,
"Dr. Robin Church-Hajduk, MD",Unknown,"1310 McCullough Avenue, San Antonio",,,,
Mission Concepción,https://www.nps.gov/saan/planyourvisit/concepcion.htm,"807 Mission Road, San Antonio",,,,
First Baptist Church of San Antonio,http://www.fbcsa.org/?utm_source=google&utm_medium=seacr&utm_campaign=local,"515 McCullough Avenue, San Antonio",,,,
"Dr. Robin Church-Hajduk, MD",Unknown,"111 Dallas Street, San Antonio",,,,
Trinity Baptist Church,https://www.trinitybaptist.org/,"319 East Mulberry Avenue, San Antonio",,,,
Basilica of the National Shrine of the Little Flower,https://littleflowerbasilica.org/,"1715 North Zarzamora Street, San Antonio",,,,
Little Church of La Villita,https://www.lavillitasanantonio.com/venues,"508 Villita Street, San Antonio",,,,
Immaculate Heart of Mary Catholic Church,http://www.ihmsatx.org/,"617 South Santa Rosa Avenue, San Antonio",,,,
TriPoint - A Center for Life,https://tripointsa.org/,"3233 North Saint Mary's Street #102, San Antonio",,,,
Our Lady of Grace Church,http://www.olgsa.org/,"223 East Summit Avenue, San Antonio",,,,
Religious of Mary Immaculate,Unknown,"719 Augusta Street, San Antonio",,,,
Communities Under the Bridge with Church Under the Bridge,https://www.cub-sa.org/,"724 Chestnut Street, San Antonio",,,,
Our Lady of Guadalupe Shrine,http://olgsanantonio.org/,"1321 El Paso Street, San Antonio",,,,
St. Henry Catholic Church,https://sthenrysatx.org/,"1619 South Flores Street, San Antonio",,,,
El Buen Samaritano United Methodist Church,Unknown,"300 Odis, San Antonio",,,,
St. Mark's Episcopal Church,https://www.stmarks-sa.org/,"315 East Pecan Street, San Antonio",,,,
Saint Paul's Episcopal Church,http://www.stpaulssanantonio.org/,"1018 East Grayson Street, San Antonio",,,,
Travis Park United Methodist Church,https://www.travispark.org/,"230 East Travis Street, San Antonio",,,,
Local Spiritual Assembly,Unknown,"735 West Magnolia Avenue, San Antonio",,,,
Saint Philip of Jesus Catholic Church,https://www.saintphilipofjesus.org/,"142 East Lambert Street, San Antonio",,,,
Redeemer Presbyterian Church,https://www.redeemersa.org/,"903 North Saint Mary's Street, San Antonio",,,,
Antioch Baptist Church,Unknown,"204 South Hackberry Street, San Antonio",,,,
St Luke Baptist Church,http://www.stlcitylights.com/,"1903 West Poplar Street, San Antonio",,,,
Living Water Faith Church,Unknown,"524 Ruiz Street, San Antonio",,,,
Word Christian Ministry Comm,Unknown,"1128 East Grayson Street, San Antonio",,,,
Jacobs House-Blessings Church,http://www.denverheights.org,"512 Dreiss Street, San Antonio",,,,
Lively Stone International Christian,http://www.livelystoneministries.com/,"937 West Magnolia Avenue, San Antonio",,,,
Immaculate Conception,https://archsa.org/parishes/immaculate-conception,"314 Merida Street, San Antonio",,,,
Iglesia La Luz del Mundo,Unknown,"714 Delgado Street, San Antonio",,,,
Grace Cathedral Christian,Unknown,"1001 West Huisache Avenue, San Antonio",,,,
MSC,Unknown,"123 West Laurel Street, San Antonio",,,,
New Testament Missionary Baptist Church,http://www.san-antonio-churches.com/newtestament/newtestament.htm,"1239 East Crockett Street, San Antonio",,,,
San Fernando Cathedral,http://www.sfcathedral.org/,"115 Main Plaza, San Antonio",,,,
St. Joseph Catholic Church,http://stjsa.org/,"623 East Commerce Street, San Antonio",,,,
Pearl Street Church,https://www.pearlstreet.church/,"1102 North Cherry Street, San Antonio",,,,
Life Restored Church,http://www.liferestoredchurch.com/,"400 Arbor Place, San Antonio",,,,
Right Way Baptist Church,http://rwbconline-sa.com/,"807 Dakota Street, San Antonio",,,,
Iglesia Bautista Buena Voluntad,Unknown,"1602 West Martin Street, San Antonio",,,,
Moment of Truth Ministries,http://www.momentoftruthministries.org/,"1730 East Commerce Street, San Antonio",,,,
St Patrick's Catholic Church,https://www.saintpatricks.net/,"1114 Willow Street, San Antonio",,,,
St. Agnes Catholic Church,http://stagneschurchsa.org/home.html,"804 Ruiz Street, San Antonio",,,,
The New Beacon Hill,Unknown,"612 Fredericksburg Road, San Antonio",,,,
St. Ann's Parish Center,Unknown,"714 Fredericksburg Road, San Antonio",,,,
Sanford Chapel United Methodist,https://sanfordchapelumc.org/,"900 Lombrano Street, San Antonio",,,,
Saint Apophenia,Unknown,"803 South Pine Street, San Antonio",,,,
Victory Temple Church,Unknown,"2101 Buena Vista Street, San Antonio",,,,
Bluebonnet Area,Unknown,"1214 Colima Street, San Antonio",,,,
AGORA Ministries,https://agoraministries.com/,"1807 San Fernando Street, San Antonio",,,,
Abounding Hope Church,Unknown,"1250 South Trinity Street, San Antonio",,,,
Carmelite Fathers,Unknown,"906 Kentucky Avenue, San Antonio",,,,
Greater New Birth,Unknown,"1719 Burleson Street, San Antonio",,,,
Little Flower Administration Office,https://littleflowerbasilica.org/contact,"824 Kentucky Avenue, San Antonio",,,,
San Antonio Spanish Durango SDA Church,Unknown,"2321 West César E Chávez Boulevard, San Antonio",,,,
Iglesla Odres Nuevos,Unknown,"1921 El Paso Street, San Antonio",,,,
Annunciation-Blessed Virgin,Unknown,"1501 Tampico Street, San Antonio",,,,
San Antonio Meditation Group of Self-Realization Fellowship,http://www.srfsanantonio.org/,"202 Holland Avenue, San Antonio",,,,
Grace Community Church,https://gccsatx.com/,"311 Hedges Street, San Antonio",,,,
Mt Ararat Baptist Church,Unknown,"1021 North Hamilton Avenue, San Antonio",,,,
National Shrine Cathedral of Our Lady of Guadalupe,https://www.cathedralguadalupe.org/,"2215 Ross Avenue, Dallas",,,,
First Baptist Dallas,http://www.firstdallas.org/,"1707 San Jacinto Street, Dallas",,,,
First United Methodist Church,https://www.firstchurchdallas.org/,"1928 Ross Avenue, Dallas",,,,
Thanks-Giving Square,http://www.thanksgiving.org/,"1627 Pacific Avenue, Dallas",,,,
Fellowship Church,https://www.fellowshipchurch.com/locations/dallas,"2809 Ross Avenue, Dallas",,,,
St. Jude Chapel,https://stjudechapel.org/,"1521 Main Street, Dallas",,,,
All Saints Dallas,https://asd.church/,"901 South Ervay Street, Dallas",,,,
East Dallas Christian Church,http://www.edcc.org/,"629 North Peak Street, Dallas",,,,
Church of the Incarnation,Unknown,"3966 McKinney Avenue, Dallas",,,,
City Church International,http://cci.church/,"1530 North Carroll Avenue, Dallas",,,,
Cliff Temple Baptist Church,http://www.clifftemple.org/,"134 West 10th Street, Dallas",,,,
Warren Avenue Christian Church,http://www.wacc-doc.org/,"2431 Warren Avenue, Dallas",,,,
Iglesia De Dios Eben Ezer Church,Unknown,Dallas,,,,
The Winners Assembly,http://twaccg.org/,"1709 Martin Luther King Junior Boulevard, Dallas",,,,
St Mary of Carmel Church,https://smcparishdallas.org/,"2900 Vilbig Road, Dallas",,,,
Grace United Methodist Church,https://www.graceumcdallas.org/,"4105 Junius Street, Dallas",,,,
Forthworth CME District,Unknown,"1825 Market Center Boulevard # 600, Dallas",,,,
Tyler Street Church,http://www.tylerstreet.church/,"927 West 10th Street, Dallas",,,,
First Presbyterian Church of Dallas,http://fpcdallas.org/,"1835 Young Street, Dallas",,,,
Kessler Park United Methodist,http://www.kpumc.org/,"1215 Turner Avenue, Dallas",,,,
Oak Lawn United Methodist Church,http://www.olumc.org/,"3014 Oak Lawn Avenue, Dallas",,,,
Saint Cecilia Catholic Church,https://stceciliadallas.org/,"1809 West Davis Street, Dallas",,,,
Forest Avenue Baptist Church,http://www.fambcdallas.org/,"2502 Martin Luther King Junior Boulevard, Dallas",,,,
St. Peter's Catholic Church,https://stpeterdal.com/,"2907 Woodall Rodgers Freeway, Dallas",,,,
Antioch Church,http://www.teamantioch.com/,"805 Elm Street, Dallas",,,,
Greater El Bethel Baptist Church,Unknown,"1130 East 9th Street, Dallas",,,,
Way of the Cross Bible Church,http://wotcbcdallas.wixsite.com/wotcbc-bible-church,"814 East 10th Street, Dallas",,,,
St. Edward Catholic Church,http://www.stedwardparish.org/,"4014 Simpson Street, Dallas",,,,
Faith Cumberland Presbyterian,http://faithcpca.org/,"2903 Al Lipscomb Way, Dallas",,,,
Upper Room Dallas,https://upperroom.co/,"1911 Wall Street, Dallas",,,,
Trueway House of God,Unknown,"421 Cleaves Street, Dallas",,,,
Blessed Sacrament Catholic Church,http://www.bsdallas.org/,"231 North Marsalis Avenue, Dallas",,,,
SoupMobile Church,http://www.soupmobile.org/,"2423 South Good Latimer Expressway, Dallas",,,,
Warren UMC,Unknown,"3028 South Malcolm X Boulevard, Dallas",,,,
Church of the Lord Jesus,Unknown,"3015 South Malcolm X Boulevard, Dallas",,,,
Oasis Baptist Church,http://www.oasisdallas.com/,"2714 Al Lipscomb Way, Dallas",,,,
Romine Avenue Christian Church,Unknown,"2302 Romine Avenue, Dallas",,,,
Iglesia De Cristo en Western Heights,http://www.western-heights.org/,"1912 North Winnetka Avenue, Dallas",,,,
Divine Church of Grace,Unknown,"2210 Cooper Street, Dallas",,,,
Victory Baptist Church of Dallas,http://victorydallas.org/,"2818 Martin Luther King Junior Boulevard, Dallas",,,,
Greater Deliverance Apostolic,Unknown,"1402 East Waco Avenue, Dallas",,,,
Trinity Church Oak Cliff,https://trinitychurchoakcliff.org/,"1139 Turner Avenue, Dallas",,,,
Victory Outreach Church Of Dallas,Unknown,"231 Jefferson Boulevard, Dallas",,,,
Centro De Adoracion,Unknown,"322 Jefferson Boulevard, Dallas",,,,
Upendo Baptist Church,Unknown,Dallas,,,,
Crossroads Community Church,http://www.crossroadscommunitychurch.us/,"Meeting in Theatre Three, 2688 Laclede Street, Dallas",,,,
Soul Church,http://soulchurch.org/,"828 4th Avenue, Dallas",,,,
Egypt Chapel Baptist Church,http://www.egyptchapel.org/,"1122 Hutchins Road, Dallas",,,,
Iglesia Christian Fellowship,https://www.facebook.com/icf.dallas/,"1327 Walmsley Avenue, Dallas",,,,
AP Church / Iglesia AP,http://apdallas.org/,"3115 Borger Street, Dallas",,,,
Antioch Missionary Baptist Church,Unknown,Dallas,,,,
New Found Life Bible Church,Unknown,"2939 Lenway Street, Dallas",,,,
Midway Baptist Church,Unknown,Dallas,,,,
Greater New Vision Christian,Unknown,"1302 Renner Drive, Dallas",,,,
Greater Calvary Baptist Church,Unknown,"3733 Myrtle Street, Dallas",,,,
Peak and East Side Church of Christ,https://www.mainstreet-churchofchrist.com/,"S Peak St & Eastside Ave, Dallas",,,,
Ewing Avenue Baptist Church,https://ewingabc.org/,"1323 South Ewing Avenue, Dallas",,,,
Greater New Zion Baptist,https://greaternewzionbc.org/Contact-Us,"2210 Pine Street, Dallas",,,,
Maranatha Church,http://yourmaranatha.com/,"805 South Peak Street, Dallas",,,,
Calvary Church Dallas,http://calvarychurch.cc/,"215 South Tyler Street #4934, Dallas",,,,